"KODEMENU","Keterangan","L0","ACCESS","OL","TipeTrans","routename","icon"
"00","Berkas","0","0","0","","","Folder"
"0001","Setup Periode Kerja","1","1","3","","#setupPeriode","Calendar"
"0002","Kunci Periode Kerja","1","2","0","","","Lock"
"0003","Set Nomor Transaksi dan Perusahaan","1","3","0","","/admin/berkas/perusahaan","Building"
"00031","Menu","1","31","0","","/admin/berkas/menu","Menu"
"0004","Set Pemakai","1","4","0","","","Users"
"0005","Ganti Password","1","5","0","","#changePassword","KeyRound"
"0006","Kalkulator","1","6","0","","","calculator"
"0007","Log off","1","7","0","","","log-out"
"0008","Keluar","1","8","0","","","log-out"
"01","Master Data","0","0","0","","",""
"010010001","Daftar Devisi","1","10040081","0","","","list"
"01001001","Perkiraan","1","1001001","0","","","receipt"
"01001002","Aktiva","1","1001003","0","","","trending-up"
"01001003","Jenis Invetasi","1","1001002","0","","","circle"
"01001004","Investasi","1","1001004","0","","","line-chart"
"01001006","Master Laba Rugi","1","1001006","0","","","bar-chart-2"
"01001007","Master Neraca","1","1001007","0","","","database"
"01001008","Posting","1","1001008","0","","","send"
"01001009","Arus Kas","1","1001009","0","","","arrow-right-left"
"010010091","Setting Lap Arus Kas","1","10010091","0","","","arrow-right-left"
"010010092","Perubahan Aset","1","1001013","0","","","repeat"
"01001010","Setting Perubahan Aset","1","1001012","0","","","repeat"
"01002003","Hutang","1","1002003","0","","",""
"01002004","Piutang","1","1002004","0","","",""
"01003005","Supplier","1","1002099","0","","",""
"010030053","Pensiunan","1","1002102","0","","/admin/kepesertaan/pensiunan","user-check"
"010030054","Peserta Aktif","1","1002103","0","","/admin/kepesertaan/aktif","user-check"
"010030055","Customer","1","1002101","0","","",""
"010030056","Master Berkas Wajib","1","0","0","","/admin/master/berkas-wajib","file-check"
"010030057","Config Log Activity","1","0","0","","/admin/master-data/config-logs","cogs"
"010030058","Activity Log","1","0","0","","/admin/master-data/activity-logs","list"
"010030059","Pengurus","1","1002105","0","","/admin/kepesertaan/pengurus","user-check"
"01003015","-","1","0","0","","","circle"
"01004005","Departemen","1","1002019","0","","","building"
"01004006","Jabatan","1","1004006","0","","","briefcase"
"01004007","Daftar Karyawan","1","1004007","0","","","user-circle"
"01004008","Master Tarif TER","1","1002098","1","","",""
"01004009","Format Laporan","1","1003000","1","","",""
"01004010","Master Aktuaris","1","1003001","1","","",""
"01004011","User Management","1","0","0","","/admin/master-data/users","Users"
"01004012","Dynamic Browse","1","1004012","0","","/admin/master-data/browse","Search"
"01004013","Dynamic Laporan","1","1004013","0","","/admin/master-data/laporan-dinamis","Search"
"02","Accounting","0","0","0","","",""
"02001","Transaksi Kas/Bank","1","2001","1","","/admin/accounting/kasbank","ReceiptText"
"02002","Transaksi Memorial/Koreksi","1","2002","1","","","receipt"
"02003","Catatan Khusus Keuangan","1","2003","1","","",""
"03","Kepesertaan","0","0","0","","",""
"03001","Peserta Aktif","1","3010","1","IA","",""
"03002","Manfaat Pensiun","1","3002","1","MP","",""
"03003","Riwayat Kepesertaan","1","3014","0","","",""
"03004","Perhitungan Manfaat Pensiun","1","3015","0","","",""
"03005","Upload PPH-21","1","3016","0","","",""
"08","Laporan-laporan","0","0","0","","file-bar-chart",""
"08001","Laporan","1","8001","0","","/admin/reports/laporan","FileText"
"081","Utilitas","0","0","0","","circle",""
"08101","Proses Tutup Buku","1","8101","0","","utilitas.tutup-buku.index","book-lock"
"08105","Aktivitas Pemakai","1","8005","0","",".activity",""
"08108","Setting Background Desktop","1","7910","0","","","image"
"08109","Backup Dan Restore Data","1","8007","0","","","database"
"09","Jendela","0","0","0","","maximize-2",""
"0901","Cascade","1","901","0","","","layers"
"0902","Tile","1","0","0","","","grid"
"09021","Horisontal","2","9021","0","","","circle"
"09022","Vertikal","2","9022","0","","","rows-2"
"0903","Arrange Icons","1","903","0","","","layout-grid"
"11","Dashboard","0","11","0","","/admin/dashboard","LayoutDashboard"
